,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
9906,1 WEST 28 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,3.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987712.0,210620.0,"1 WEST 28 STREET, NEW YORK, NEW YORK","(40.7450254, -73.98783360000002)"
9938,19 EAST 19 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,2.0,11/05/2010 07:00:00 AM +0000,Open,Unspecified,,986977.0,208363.0,"19 EAST 19 STREET, NEW YORK, NEW YORK","(40.7384735, -73.9896976)"
9944,199 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/11/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1006051.0,254558.0,"199 SHERMAN AVENUE, NEW YORK, NEW YORK","(40.8652226, -73.9211984)"
9959,1995 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000508.0,243102.0,"1995 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8339556, -73.9412151)"
9972,1990 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,04/19/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000003.0,228463.0,"1990 3 AVENUE, NEW YORK, NEW YORK","(40.793875, -73.943389)"
9983,1989 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000478.0,243049.0,"1989 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8337388, -73.94119359999999)"
9998,1982 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000443.0,242998.0,"1982 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.83378099999999, -73.941762)"
10000,1982 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,07/22/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,999936.0,228339.0,"1982 3 AVENUE, NEW YORK, NEW YORK","(40.793509, -73.94358)"
10040,196 MULBERRY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,08/15/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985231.0,202115.0,"196 MULBERRY STREET, NEW YORK, NEW YORK","(40.721351, -73.9962259)"
10055,1963 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000330.0,242782.0,"1963 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.832896, -73.941621)"
10095,1949 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,04/07/2011 07:00:00 AM +0000,Open,Unspecified,,1000234.0,242611.0,"1949 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8325507, -73.9420048)"
10108,1940 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,02/15/2011 08:00:00 AM +0000,Open,Unspecified,,997546.0,232198.0,"1940 7 AVENUE, NEW YORK, NEW YORK","(40.8039767, -73.9520821)"
10135,1925 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,04/18/2011 07:00:00 AM +0000,Open,Unspecified,,997445.0,232003.0,"1925 7 AVENUE, NEW YORK, NEW YORK","(40.7668744, -73.979055)"
10159,1916 7 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,9.0,05/13/2011 07:00:00 AM +0000,Open,Unspecified,,997329.0,231805.0,"1916 7 AVENUE, NEW YORK, NEW YORK","(40.8031671, -73.9526875)"
10168,1912 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/18/2011 07:00:00 AM +0000,Open,Unspecified,,997314.0,231777.0,"1912 7 AVENUE, NEW YORK, NEW YORK","(40.803031, -73.9527851)"
10176,190 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 1,3.0,08/03/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983565.0,203976.0,"190 PRINCE STREET, NEW YORK, NEW YORK","(40.726412, -74.0026604)"
10180,190 MULBERRY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,03/07/2011 08:00:00 AM +0000,Open,Unspecified,,985215.0,202061.0,"190 MULBERRY STREET, NEW YORK, NEW YORK","(40.7211704, -73.9965662)"
10182,190 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998642.0,232307.0,"190 LENOX AVENUE, NEW YORK, NEW YORK","(40.8043062, -73.9479084)"
10217,18 PELL STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,07/28/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,984835.0,199698.0,"18 PELL STREET, NEW YORK, NEW YORK","(40.7149563, -73.9978847)"
10218,18 MORTON STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983206.0,205695.0,"18 MORTON STREET, NEW YORK, NEW YORK","(40.7311063, -74.0039104)"
10219,18 JEFFERSON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,08/04/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,987399.0,199299.0,"18 JEFFERSON STREET, NEW YORK, NEW YORK","(40.7137073, -73.98874359999999)"
10224,18 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,02/20/2011 08:00:00 AM +0000,Open,Unspecified,,985037.0,199599.0,"18 BOWERY, NEW YORK, NEW YORK","(40.714629, -73.997508)"
10226,18 BLEECKER STREET,MANHATTAN,02 MANHATTAN,Precinct 9,1.0,07/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,986148.0,203586.0,"18 BLEECKER STREET, NEW YORK, NEW YORK","(40.72532, -73.99336799999999)"
10229,18 ALLEN STREET,MANHATTAN,03 MANHATTAN,Unspecified,1.0,07/13/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,986378.0,199908.0,"18 ALLEN STREET, NEW YORK, NEW YORK","(40.7152042, -73.99209979999999)"
10258,188 EAST 109 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,04/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999830.0,228440.0,"188 EAST 109 STREET, NEW YORK, NEW YORK","(40.793489, -73.9437559)"
10267,188 11 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,3.0,07/28/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,982359.0,212209.0,"188 11 AVENUE, NEW YORK, NEW YORK","(40.749083, -74.006461)"
10279,187 CHRISTOPHER STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,08/03/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,981498.0,206128.0,"187 CHRISTOPHER STREET, NEW YORK, NEW YORK","(40.7324941, -74.0098919)"
10285,1877 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,03/12/2011 08:00:00 AM +0000,Open,Unspecified,,997151.0,231472.0,"1877 7 AVENUE, NEW YORK, NEW YORK","(40.8018185, -73.95344)"
10292,1873 LEXINGTON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,04/19/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000469.0,230336.0,"1873 LEXINGTON AVENUE, NEW YORK, NEW YORK","(40.7989486, -73.9412322)"
10303,186 EAST 109 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,06/17/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999818.0,228446.0,"186 EAST 109 STREET, NEW YORK, NEW YORK","(40.793494, -73.94383599999999)"
10342,1850 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,09/21/2010 07:00:00 AM +0000,Open,Unspecified,,999581.0,241442.0,"1850 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8294685, -73.94474009999999)"
10353,184 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,04/14/2011 07:00:00 AM +0000,Open,Unspecified,,998612.0,232254.0,"184 LENOX AVENUE, NEW YORK, NEW YORK","(40.80414589999999, -73.94802279999999)"
10383,1841 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,05/05/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,999450.0,224449.0,"1841 1 AVENUE, NEW YORK, NEW YORK","(40.782931, -73.94547899999999)"
10420,182 LENOX AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,9.0,05/13/2011 07:00:00 AM +0000,Open,Unspecified,,998603.0,232236.0,"182 LENOX AVENUE, NEW YORK, NEW YORK","(40.8040925, -73.9480609)"
10483,180 SOUTH STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,02/20/2011 08:00:00 AM +0000,Open,Unspecified,,984540.0,197519.0,"180 SOUTH STREET, NEW YORK, NEW YORK","(40.70906069999999, -73.9991016)"
10485,180 PINEHURST AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,03/31/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001362.0,250529.0,"180 PINEHURST AVENUE, NEW YORK, NEW YORK","(40.854218, -73.9383948)"
10487,180 LENOX AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,9.0,05/13/2011 07:00:00 AM +0000,Open,Unspecified,,998593.0,232218.0,"180 LENOX AVENUE, NEW YORK, NEW YORK","(40.8039874, -73.94797249999999)"
10494,180 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,04/19/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,989977.0,204386.0,"180 AVENUE B, NEW YORK, NEW YORK","(40.7276449, -73.9793419)"
10543,17 POST AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,01/10/2011 08:00:00 AM +0000,Open,Unspecified,,1005143.0,253669.0,"17 POST AVENUE, NEW YORK, NEW YORK","(40.862657, -73.924207)"
10548,17 FORT GEORGE HILL,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,04/12/2011 07:00:00 AM +0000,Open,Unspecified,,1004371.0,251860.0,"17 FORT GEORGE HILL, NEW YORK, NEW YORK","(40.85802, -73.927512)"
10555,17 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,07/20/2011 07:00:00 AM +0000,Open,Unspecified,,987794.0,220156.0,"17 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.7710588, -73.9871457)"
10560,179 GRAND STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,08/17/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,984874.0,201398.0,"179 GRAND STREET, NEW YORK, NEW YORK","(40.719233, -73.99788699999999)"
10607,177 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1.0,08/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983554.0,203355.0,"177 SPRING STREET, NEW YORK, NEW YORK","(40.724973, -74.002376)"
10615,177 EAST 73 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,06/04/2011 07:00:00 AM +0000,Open,Unspecified,,995116.0,220073.0,"177 EAST 73 STREET, NEW YORK, NEW YORK","(40.7708609, -73.960537)"
10651,176 WEST 94 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,992434.0,227963.0,"176 WEST 94 STREET, NEW YORK, NEW YORK","(40.7924615, -73.9709274)"
10663,176 EAST 110 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,04/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999885.0,228714.0,"176 EAST 110 STREET, NEW YORK, NEW YORK","(40.7942064, -73.9431951)"
10665,176 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,08/05/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,988371.0,200691.0,"176 DELANCY STREET, NEW YORK, NEW YORK","(40.7176945, -73.9851278)"
10693,175 WEST 79 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990507.0,224462.0,"175 WEST 79 STREET, NEW YORK, NEW YORK","(40.7830383, -73.9780293)"
10698,175 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987723.0,202265.0,"175 LUDLOW STREET, NEW YORK, NEW YORK","(40.721902, -73.98768199999999)"
10700,175 EAST 92 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,06/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997571.0,224526.0,"175 EAST 92 STREET, NEW YORK, NEW YORK","(40.7828275, -73.95163149999999)"
10706,1758 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,06/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998946.0,223531.0,"1758 1 AVENUE, NEW YORK, NEW YORK","(40.7801687, -73.94678970000001)"
10727,1750 SECOND AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,06/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998291.0,223896.0,"1750 SECOND AVENUE, NEW YORK, NEW YORK","(40.781107, -73.949001)"
10731,174 WEST HOUSTON STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,08/10/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983396.0,204714.0,"174 WEST HOUSTON STREET, NEW YORK, NEW YORK","(40.728765, -74.00292)"
10749,1746 FIRST AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,07/02/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998848.0,223352.0,"1746 FIRST AVENUE, NEW YORK, NEW YORK","(40.779584, -73.946996)"
10776,173 WEST 141 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,01/13/2011 08:00:00 AM +0000,Open,Unspecified,,1000874.0,237553.0,"173 WEST 141 STREET, NEW YORK, NEW YORK","(40.819036, -73.9404562)"
10780,173 MOTT STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,07/17/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985328.0,201597.0,"173 MOTT STREET, NEW YORK, NEW YORK","(40.7201075, -73.9960775)"
10781,173 HENRY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,08/12/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987304.0,199219.0,"173 HENRY STREET, NEW YORK, NEW YORK","(40.713678, -73.98885899999999)"
10818,172 EAST 91 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,5.0,05/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,997430.0,224298.0,"172 EAST 91 STREET, NEW YORK, NEW YORK","(40.781961, -73.952112)"
10819,172 ALLEN STREET,MANHATTAN,03 MANHATTAN,Unspecified,1.0,07/13/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,987224.0,202080.0,"172 ALLEN STREET, NEW YORK, NEW YORK","(40.721343, -73.9889057)"
10839,1722 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998780.0,239996.0,"1722 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.82557, -73.9477689)"
10849,1720 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998051.0,223466.0,"1720 2 AVENUE, NEW YORK, NEW YORK","(40.7800622, -73.9499501)"
10852,171 WEST 26 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,3.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,986118.0,210915.0,"171 WEST 26 STREET, NEW YORK, NEW YORK","(40.7458291, -73.9938433)"
10859,171 EAST 2 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,988476.0,202529.0,"171 EAST 2 STREET, NEW YORK, NEW YORK","(40.7223619, -73.984888)"
10956,16 EAST 116 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,07/22/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,999260.0,230878.0,"16 EAST 116 STREET, NEW YORK, NEW YORK","(40.800024, -73.945702)"
10957,16 COMMERCE STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,3.0,09/27/2010 07:00:00 AM +0000,Open,Unspecified,,983049.0,205862.0,"16 COMMERCE STREET, NEW YORK, NEW YORK","(40.7316522, -74.004198)"
10977,1690 LEXINGTON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,04/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999143.0,227956.0,"1690 LEXINGTON AVENUE, NEW YORK, NEW YORK","(40.79248, -73.94640799999999)"
10993,1689 3 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998103.0,225020.0,"1689 3 AVENUE, NEW YORK, NEW YORK","(40.784157, -73.94967199999999)"
11034,1678 FIRST AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,07/02/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998470.0,222671.0,"1678 FIRST AVENUE, NEW YORK, NEW YORK","(40.777838, -73.948295)"
11047,1670 YORK AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,05/05/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,999130.0,222389.0,"1670 YORK AVENUE, NEW YORK, NEW YORK","(40.776981, -73.945998)"
11061,166 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1004970.0,253163.0,"166 NAGLE AVENUE, NEW YORK, NEW YORK","(40.8616111, -73.92514779999999)"
11063,166 EAST 92 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,07/02/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997519.0,224548.0,"166 EAST 92 STREET, NEW YORK, NEW YORK","(40.782689, -73.951934)"
11065,166 EAST 124 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,04/20/2011 07:00:00 AM +0000,Open,Unspecified,,1001631.0,231983.0,"166 EAST 124 STREET, NEW YORK, NEW YORK","(40.803161, -73.9372099)"
11073,1668 3 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997946.0,224749.0,"1668 3 AVENUE, NEW YORK, NEW YORK","(40.783674, -73.950844)"
11111,165 WEST 26 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,3.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,986151.0,210896.0,"165 WEST 26 STREET, NEW YORK, NEW YORK","(40.745956, -73.99358099999999)"
11117,165 RUTGERS ST,MANHATTAN,Unspecified MANHATTAN,Unspecified,,04/06/2011 07:00:00 AM +0000,Open,Unspecified,,,,"165 RUTGERS ST, NEW YORK, NEW YORK","(43.146302, -77.587143)"
11119,165 HILLSIDE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,02/04/2011 08:00:00 AM +0000,Open,Unspecified,,1004838.0,252876.0,"165 HILLSIDE AVENUE, NEW YORK, NEW YORK","(40.8610295, -73.9255075)"
11125,1658 3 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997859.0,224591.0,"1658 3 AVENUE, NEW YORK, NEW YORK","(40.7831043, -73.9510474)"
11158,164 EAST 33 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,2.0,04/26/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,989928.0,210857.0,"164 EAST 33 STREET, NEW YORK, NEW YORK","(40.745064, -73.979021)"
11164,1646 MADISON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,04/19/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998707.0,229279.0,"1646 MADISON AVENUE, NEW YORK, NEW YORK","(40.796082, -73.94806799999999)"
11166,1645 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1004019.0,251312.0,"1645 ST NICHOLAS AVENUE, NEW YORK, NEW YORK","(40.85645419999999, -73.92850899999999)"
11203,1635 MADISON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,09/15/2010 07:00:00 AM +0000,Open,Unspecified,,998656.0,229173.0,"1635 MADISON AVENUE, NEW YORK, NEW YORK","(40.7956333, -73.94800010000002)"
11221,162 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998883.0,233826.0,"162 WEST 125 STREET, NEW YORK, NEW YORK","(40.8086964, -73.9480195)"
11225,162 CHARLES STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,981673.0,206679.0,"162 CHARLES STREET, NEW YORK, NEW YORK","(40.7339658, -74.0092243)"
11246,162 3 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,2.0,01/12/2011 08:00:00 AM +0000,Open,Unspecified,,988040.0,206869.0,"162 3 AVENUE, NEW YORK, NEW YORK","(40.7346519, -73.986599)"
11268,161 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,07/07/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,994076.0,230719.0,"161 WEST 106 STREET, NEW YORK, NEW YORK","(40.8002214, -73.9651785)"
11300,160 WEST 82 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990977.0,225123.0,"160 WEST 82 STREET, NEW YORK, NEW YORK","(40.784586, -73.976282)"
